# timestamp tx ty tz qx qy qz qw
1773115277.224287748 15.545773657 19.578731432 0.088225630 -0.075598521 -0.021848983 0.987036791 -0.139878014
1773115277.304529905 15.499168291 19.517350232 0.086637485 -0.070721441 -0.022039540 0.984778625 -0.157238023
1773115277.402640104 15.446333346 19.454772447 0.084689085 -0.067628027 -0.028720521 0.982310722 -0.172241769
1773115277.509229422 15.391193126 19.392660136 0.084391581 -0.064850925 -0.035948177 0.979486132 -0.187373965
1773115277.607250929 15.339964142 19.334025289 0.085251654 -0.066633358 -0.040637605 0.975704241 -0.204718868
1773115277.764126301 15.294839515 19.283266291 0.087108402 -0.065762948 -0.036848445 0.973039330 -0.217972223
1773115277.804704905 15.250399514 19.237024182 0.088928763 -0.067754827 -0.037035941 0.970928519 -0.226573241
1773115277.903766632 15.207350715 19.193251139 0.086119219 -0.069540106 -0.037246990 0.969794632 -0.230814229
1773115278.009567022 15.161177779 19.148213401 0.079361738 -0.070524791 -0.035549259 0.969290946 -0.232889601
1773115278.115756750 15.113097936 19.100458737 0.073488843 -0.070539250 -0.039597062 0.969262192 -0.232351220
1773115278.241932631 15.060672410 19.049210643 0.073069303 -0.067686894 -0.044004164 0.969420161 -0.231746996
1773115278.320557594 15.007908857 18.999091095 0.079018718 -0.060502404 -0.050991029 0.969264965 -0.232948068
1773115278.406610727 14.960756273 18.958169712 0.089545979 -0.059263345 -0.047474018 0.969412931 -0.233393750
1773115278.584770918 14.917466475 18.924218810 0.101816267 -0.063225314 -0.045442607 0.970251914 -0.229235145
1773115278.618825197 14.873450529 18.891807467 0.112631309 -0.063976429 -0.044900170 0.971163831 -0.225237219
1773115278.710427523 14.828665920 18.857755186 0.119251674 -0.062178345 -0.042344779 0.971473569 -0.224899706
1773115278.812992573 14.782487171 18.818663944 0.121482516 -0.058916405 -0.039699107 0.971021067 -0.228190548
1773115278.920599222 14.735883469 18.771009013 0.118163543 -0.052635945 -0.032905684 0.968790845 -0.239981189
1773115279.005632401 14.689798272 18.714053508 0.109206335 -0.054129878 -0.023750137 0.962869374 -0.263416885
1773115279.105878830 14.643214349 18.651677249 0.100049709 -0.057438583 -0.021110734 0.954187921 -0.292883181
1773115279.221742392 14.594090943 18.590719943 0.097904024 -0.055652208 -0.023458929 0.945099375 -0.321153674
1773115279.383382797 14.552355941 18.532407583 0.097211972 -0.058916334 -0.034588808 0.936213710 -0.344726514
1773115279.409204483 14.509462157 18.484567407 0.101409511 -0.059213450 -0.036340855 0.930945720 -0.358487345
1773115279.511823177 14.473860811 18.440926709 0.104862924 -0.058256181 -0.032711472 0.926838342 -0.369468355
1773115279.609397650 14.443838988 18.397247856 0.106004600 -0.056944853 -0.034807118 0.923648779 -0.377383996
1773115279.708351851 14.414668964 18.353842767 0.103891939 -0.055117086 -0.034570286 0.922932335 -0.379424442
1773115279.810543776 14.388603370 18.308430583 0.100431297 -0.057356088 -0.027831602 0.922628346 -0.380384827
1773115279.911489010 14.360437020 18.259560510 0.098255753 -0.054951969 -0.027391403 0.924294852 -0.376708135
1773115280.013612986 14.331412668 18.209433373 0.098794554 -0.054900885 -0.028543544 0.926605503 -0.370908885
1773115280.224678755 14.306111633 18.158465146 0.103360022 -0.052639838 -0.032186843 0.928564417 -0.366007073
1773115280.252632380 14.280362247 18.114473703 0.108832554 -0.049787335 -0.031006348 0.932117223 -0.357375586
1773115280.307727575 14.254729910 18.074678793 0.112994414 -0.055111358 -0.029841676 0.934029615 -0.351654505
1773115280.424833536 14.229254246 18.036250918 0.114329050 -0.060141330 -0.032001790 0.936751614 -0.343300626
1773115280.523010731 14.204469293 17.999130492 0.113215730 -0.066387810 -0.030568549 0.939215358 -0.335458989
